frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
137,0.43163300,0.98980762,4526,0.14076233,0.99798113,1476,0.29087067,-0.00817351,0.28619766,0.43163300
138,0.39882660,0.99013959,4182,0.10938644,0.99827515,1147,0.28944016,-0.00813556,0.25410652,0.39882660
139,0.38776398,0.98967332,4066,0.11606216,0.99744631,1217,0.27170181,-0.00777299,0.25191307,0.38776398
140,0.38337708,0.99061553,4020,0.11663437,0.99833206,1223,0.26674271,-0.00771654,0.25000572,0.38337708
141,0.42943954,0.98977324,4503,0.14486313,0.99793245,1519,0.28457642,-0.00815921,0.28715134,0.42943954
142,0.41532516,0.98981938,4355,0.10433197,0.99830731,1094,0.31099319,-0.00848793,0.25982857,0.41532516
143,0.33721924,0.99276862,3536,0.12102127,0.99776936,1269,0.21619797,-0.00500073,0.22912025,0.33721924
144,0.35610199,0.99227353,3734,0.11949539,0.99767026,1253,0.23660660,-0.00539673,0.23779869,0.35610199
145,0.39024353,0.99202090,4092,0.15716553,0.99735975,1648,0.23307800,-0.00533885,0.27370453,0.39024353
146,0.34027100,0.99254776,3568,0.12521744,0.99758856,1313,0.21505356,-0.00504080,0.23274422,0.34027100
147,0.38328171,0.99179860,4019,0.14600754,0.99739846,1531,0.23727417,-0.00559986,0.26464462,0.38328171
148,0.37183762,0.99194550,3899,0.11940002,0.99771816,1252,0.25243759,-0.00577265,0.24561882,0.37183762
149,0.40845871,0.99149209,4283,0.15897751,0.99729008,1667,0.24948120,-0.00579799,0.28371811,0.40845871
150,0.36115646,0.99194512,3787,0.14610291,0.99534756,1532,0.21505356,-0.00340244,0.25362968,0.36115646
151,0.38719177,0.99147164,4060,0.14591217,0.99538644,1530,0.24127960,-0.00391479,0.26655197,0.38719177
152,0.40798187,0.99159637,4278,0.17910004,0.99511320,1878,0.22888184,-0.00351683,0.29354095,0.40798187
153,0.37937164,0.99169182,3978,0.14686584,0.99537607,1540,0.23250580,-0.00368425,0.26311874,0.37937164
154,0.34713745,0.99201307,3640,0.15182495,0.99503344,1592,0.19531250,-0.00302037,0.24948120,0.34713745
155,0.37517548,0.99154470,3934,0.14858246,0.99502897,1558,0.22659302,-0.00348427,0.26187897,0.37517548
156,0.39615631,0.99162754,4154,0.18377304,0.99476177,1927,0.21238327,-0.00313423,0.28996468,0.39615631
157,0.40426254,0.99061943,4239,0.15459061,0.99455586,1621,0.24967194,-0.00393643,0.27942657,0.40426254
158,0.32148361,0.99368387,3371,0.14076233,0.99533028,1476,0.18072128,-0.00164641,0.23112297,0.32148361
159,0.34189224,0.99335486,3585,0.13837814,0.99543496,1451,0.20351410,-0.00208010,0.24013519,0.34189224
160,0.37021637,0.99328019,3882,0.17461777,0.99487186,1831,0.19559860,-0.00159167,0.27241707,0.37021637
161,0.33617020,0.99352549,3525,0.14524460,0.99484601,1523,0.19092560,-0.00132052,0.24070740,0.33617020
162,0.30956268,0.99395010,3246,0.14476776,0.99490043,1518,0.16479492,-0.00095033,0.22716522,0.30956268
163,0.33740997,0.99355255,3538,0.14152527,0.99514526,1484,0.19588470,-0.00159271,0.23946762,0.33740997
164,0.37641525,0.99313947,3947,0.17709732,0.99470223,1857,0.19931793,-0.00156275,0.27675629,0.37641525
165,0.34408569,0.99351254,3608,0.14295578,0.99524222,1499,0.20112991,-0.00172968,0.24352074,0.34408569
166,0.31909943,0.99360987,3346,0.16679764,0.99441789,1749,0.15230179,-0.00080803,0.24294853,0.31909943
167,0.34093857,0.99322672,3575,0.16441345,0.99459686,1724,0.17652512,-0.00137014,0.25267601,0.34093857
168,0.36954880,0.99307193,3875,0.19903183,0.99424387,2087,0.17051697,-0.00117194,0.28429031,0.36954880
169,0.33111572,0.99355760,3472,0.16937256,0.99438415,1776,0.16174316,-0.00082655,0.25024414,0.33111572
170,0.33559799,0.99327239,3519,0.17070770,0.99444808,1790,0.16489029,-0.00117569,0.25315285,0.33559799
171,0.35638809,0.99308385,3737,0.17280579,0.99436507,1812,0.18358231,-0.00128123,0.26459694,0.35638809
172,0.38118362,0.99311425,3997,0.19931793,0.99453489,2090,0.18186569,-0.00142064,0.29025078,0.38118362
173,0.34503937,0.99344150,3618,0.17023087,0.99471673,1785,0.17480850,-0.00127523,0.25763512,0.34503937
174,0.35905838,0.99105252,3765,0.13875961,0.99529819,1455,0.22029877,-0.00424567,0.24890900,0.35905838
175,0.37784576,0.99058320,3962,0.13885498,0.99531617,1456,0.23899078,-0.00473298,0.25835037,0.37784576
176,0.40817261,0.99028110,4280,0.17070770,0.99505338,1790,0.23746490,-0.00477227,0.28944016,0.40817261
177,0.36783218,0.99123310,3857,0.14171600,0.99527096,1486,0.22611618,-0.00403786,0.25477409,0.36783218
178,0.34580231,0.99128945,3626,0.14038086,0.99533627,1472,0.20542145,-0.00404682,0.24309158,0.34580231
179,0.35772324,0.99115670,3751,0.13666153,0.99552351,1433,0.22106171,-0.00436682,0.24719238,0.35772324
180,0.39348602,0.99062497,4126,0.16736984,0.99532069,1755,0.22611618,-0.00469572,0.28042793,0.39348602
181,0.38404465,0.99061032,4027,0.13389587,0.99563145,1404,0.25014877,-0.00502113,0.25897026,0.38404465
182,0.41399002,0.99051139,4341,0.14019012,0.99664206,1470,0.27379990,-0.00613067,0.27709007,0.41399002
183,0.43592453,0.99017024,4571,0.14257431,0.99653630,1495,0.29335022,-0.00636607,0.28924942,0.43592453
184,0.46567917,0.98993540,4883,0.17251968,0.99636696,1809,0.29315948,-0.00643157,0.31909943,0.46567917
185,0.41522980,0.99088494,4354,0.14133453,0.99647545,1482,0.27389526,-0.00559051,0.27828217,0.41522980
186,0.42295456,0.99041930,4435,0.14266968,0.99655653,1496,0.28028488,-0.00613723,0.28281212,0.42295456
187,0.42886734,0.99076400,4497,0.14028549,0.99670902,1471,0.28858185,-0.00594502,0.28457642,0.42886734
188,0.45919418,0.99050755,4815,0.17557144,0.99633563,1841,0.28362274,-0.00582809,0.31738281,0.45919418
189,0.42009354,0.99082077,4405,0.13647079,0.99673813,1431,0.28362274,-0.00591736,0.27828217,0.42009354
190,0.44536591,0.98966678,4670,0.11043549,0.99751414,1158,0.33493042,-0.00784736,0.27790070,0.44536591
191,0.46758652,0.98949315,4903,0.11415482,0.99751374,1197,0.35343170,-0.00802059,0.29087067,0.46758652
192,0.48961639,0.98940667,5134,0.14276505,0.99733885,1497,0.34685135,-0.00793218,0.31619072,0.48961639
193,0.44775009,0.99007711,4695,0.10728836,0.99766710,1125,0.34046173,-0.00758999,0.27751923,0.44775009
194,0.43725967,0.98994685,4585,0.11444092,0.99750016,1200,0.32281876,-0.00755331,0.27585030,0.43725967
195,0.46119690,0.98994688,4836,0.10948181,0.99768221,1148,0.35171509,-0.00773533,0.28533936,0.46119690
196,0.48589706,0.98969859,5095,0.14619827,0.99733149,1533,0.33969879,-0.00763290,0.31604767,0.48589706
197,0.45366287,0.99032073,4757,0.11510849,0.99749959,1207,0.33855438,-0.00717886,0.28438568,0.45366287
198,0.47626495,0.98946626,4994,0.11672974,0.99681982,1224,0.35953522,-0.00735356,0.29649734,0.47626495
199,0.49629211,0.98937948,5204,0.11358261,0.99690983,1191,0.38270950,-0.00753035,0.30493736,0.49629211
200,0.51774979,0.98940339,5429,0.14734268,0.99658539,1545,0.37040710,-0.00718200,0.33254623,0.51774979
201,0.48170090,0.99007784,5051,0.11348724,0.99684692,1190,0.36821365,-0.00676908,0.29759407,0.48170090
202,0.44212341,0.99095046,4636,0.11434555,0.99688982,1199,0.32777786,-0.00593936,0.27823448,0.44212341
203,0.45871735,0.99066192,4810,0.11882782,0.99676120,1246,0.33988953,-0.00609928,0.28877258,0.45871735
204,0.49619675,0.99036552,5203,0.14905930,0.99653424,1563,0.34713745,-0.00616872,0.32262802,0.49619675
205,0.48942566,0.99028836,5132,0.12197495,0.99660182,1279,0.36745071,-0.00631346,0.30570030,0.48942566
206,0.49390793,0.98739555,5179,0.11758804,0.99654938,1233,0.37631989,-0.00915383,0.30574799,0.49390793
207,0.51097870,0.98746361,5358,0.11425018,0.99679729,1198,0.39672852,-0.00933369,0.31261444,0.51097870
208,0.53415298,0.98752563,5601,0.14142990,0.99655650,1483,0.39272308,-0.00903088,0.33779144,0.53415298
209,0.48437119,0.98827420,5079,0.11587143,0.99643946,1215,0.36849976,-0.00816526,0.30012131,0.48437119
210,0.49209595,0.98878548,5160,0.11644363,0.99672250,1221,0.37565231,-0.00793703,0.30426979,0.49209595
211,0.53577423,0.98843703,5618,0.16422272,0.99601349,1722,0.37155151,-0.00757646,0.34999847,0.53577423
212,0.49133301,0.98883035,5152,0.12073517,0.99620075,1266,0.37059784,-0.00737040,0.30603409,0.49133301
213,0.34646988,0.99328307,3633,0.08125305,0.99862254,852,0.26521683,-0.00533948,0.21386147,0.34646988
214,0.36430359,0.99286781,3820,0.07705688,0.99871494,808,0.28724670,-0.00584713,0.22068024,0.36430359
215,0.39339066,0.99269348,4125,0.10881424,0.99845153,1141,0.28457642,-0.00575805,0.25110245,0.39339066
216,0.35705566,0.99311846,3744,0.08058548,0.99869504,845,0.27647018,-0.00557657,0.21882057,0.35705566
217,0.33559799,0.99366241,3519,0.07848740,0.99874296,823,0.25711060,-0.00508056,0.20704269,0.33559799
218,0.36573410,0.99296228,3835,0.07572174,0.99882769,794,0.29001236,-0.00586541,0.22072792,0.36573410
219,0.39167404,0.99294869,4107,0.10871887,0.99846176,1140,0.28295517,-0.00551308,0.25019646,0.39167404
220,0.36678314,0.99318740,3846,0.08001328,0.99874310,839,0.28676987,-0.00555570,0.22339821,0.36678314
221,0.44116974,0.99116558,4626,0.10643005,0.99861394,1116,0.33473969,-0.00744836,0.27379990,0.44116974
222,0.45709610,0.99068480,4793,0.10814667,0.99849007,1134,0.34894943,-0.00780527,0.28262138,0.45709610
223,0.48122406,0.99046421,5046,0.13771057,0.99831161,1444,0.34351349,-0.00784739,0.30946732,0.48122406
224,0.44708252,0.99095405,4688,0.10156631,0.99857432,1065,0.34551620,-0.00762027,0.27432442,0.44708252
225,0.41685104,0.99150399,4371,0.10538101,0.99847438,1105,0.31147003,-0.00697039,0.26111603,0.41685104
226,0.43468475,0.99112063,4558,0.10347366,0.99848093,1085,0.33121109,-0.00736030,0.26907921,0.43468475
227,0.46224594,0.99127816,4847,0.13446808,0.99820351,1410,0.32777786,-0.00692535,0.29835701,0.46224594
228,0.44345856,0.99154253,4650,0.10204315,0.99850225,1070,0.34141541,-0.00695972,0.27275085,0.44345856
229,0.51507950,0.98978109,5401,0.07343292,0.99889600,770,0.44164658,-0.00911490,0.29425621,0.51507950
230,0.53224564,0.98932775,5581,0.07343292,0.99890279,770,0.45881271,-0.00957504,0.30283928,0.53224564
231,0.56304932,0.98917296,5904,0.10385513,0.99881488,1089,0.45919418,-0.00964192,0.33345222,0.56304932
232,0.51584244,0.98980786,5409,0.07038116,0.99909564,738,0.44546127,-0.00928777,0.29311180,0.51584244
233,0.52709579,0.98958357,5527,0.07133484,0.99901750,748,0.45576096,-0.00943393,0.29921532,0.52709579
234,0.54674149,0.98952249,5733,0.07562637,0.99888899,793,0.47111511,-0.00936650,0.31118393,0.54674149
235,0.59003830,0.98905504,6187,0.10442734,0.99870729,1095,0.48561096,-0.00965225,0.34723282,0.59003830
