scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
robotlab,r60,8,fvdb,66,0.963762,0.005641,0.075670,0.306827,0.673059,31.882,27.891,350.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260523-235824_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_robotlab_r60_fvdb_d8_100ep_metrics_nEDLLOMj/inference/0
robotlab,r60,8,spconv,66,0.979667,0.006624,0.041464,0.360795,0.740857,17.248,16.816,306.3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260524-001008_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_robotlab_r60_spconv_d8_100ep_metrics_cWBV4M2M/inference/0
robotlab,r60,16,fvdb,66,0.953229,0.006736,0.094352,0.365927,0.724865,34.744,27.779,461.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260524-002141_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_robotlab_r60_fvdb_d16_100ep_metrics_in08mHBJ/inference/0
robotlab,r60,16,spconv,66,0.957601,0.006666,0.085787,0.361857,0.724074,17.961,17.547,382.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260524-003327_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_robotlab_r60_spconv_d16_100ep_metrics_EQuOs1p3/inference/0
robotlab,r60,32,fvdb,66,0.944689,0.008193,0.110096,0.444569,0.797016,37.969,25.568,818.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260524-004530_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_robotlab_r60_fvdb_d32_100ep_metrics_vhSqXdJ8/inference/0
robotlab,r60,32,spconv,66,0.944497,0.007581,0.113695,0.411669,0.763016,23.694,23.243,675.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260524-005821_synthetic_may19_r60_spconv_d32_b3_depth3_100ep-final_robotlab_r60_spconv_d32_100ep_metrics_M9zNLhCx/inference/0
robotlab,r90,8,fvdb,45,0.969035,0.005837,0.063270,0.316699,0.701614,31.726,28.175,348.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-011017_synthetic_may19_r90_fvdb_d8_b3_depth3_100ep-final_robotlab_r90_fvdb_d8_100ep_metrics_JFm3ry1X/inference/0
robotlab,r90,8,spconv,45,0.975465,0.006136,0.050010,0.333669,0.724100,17.252,16.822,306.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-012042_synthetic_may19_r90_spconv_d8_b3_depth3_100ep-final_robotlab_r90_spconv_d8_100ep_metrics_Hk42wT4k/inference/0
robotlab,r90,16,fvdb,45,0.960472,0.006974,0.079762,0.378077,0.756122,34.425,27.625,459.3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-013102_synthetic_may19_r90_fvdb_d16_b3_depth3_100ep-final_robotlab_r90_fvdb_d16_100ep_metrics_Y2wiwvFh/inference/0
robotlab,r90,16,spconv,45,0.973165,0.007830,0.051312,0.423606,0.813433,17.609,17.195,379.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r90_dice_20260524-014216_synthetic_may19_r90_spconv_d16_b3_depth3_100ep-final_robotlab_r90_spconv_d16_100ep_metrics_iCtYXbJZ/inference/0
