frame,per_percent,ssim,error_pixels,total_pixels
607,0.71086884,0.99320912,7454,1048576
608,1.32751465,0.98831966,13920,1048576
609,1.35231018,0.98800175,14180,1048576
610,1.35507584,0.98805155,14209,1048576
611,1.38902664,0.98756908,14565,1048576
612,1.38216019,0.98765383,14493,1048576
613,1.37815475,0.98760884,14451,1048576
614,1.37805939,0.98743132,14450,1048576
615,1.41544342,0.98694081,14842,1048576
616,0.97198486,0.99106774,10192,1048576
617,0.99248886,0.99076823,10407,1048576
618,0.97589493,0.99085183,10233,1048576
619,1.00259781,0.99069576,10513,1048576
620,1.01470947,0.99039455,10640,1048576
621,1.01680756,0.99028131,10662,1048576
622,1.01537704,0.99020213,10647,1048576
623,1.02214813,0.98996783,10718,1048576
624,0.75540543,0.99179470,7921,1048576
625,0.75931549,0.99188086,7962,1048576
626,0.75120926,0.99167603,7877,1048576
627,0.77981949,0.99138863,8177,1048576
628,0.76427460,0.99146545,8014,1048576
629,0.79240799,0.99115739,8309,1048576
630,0.78382492,0.99113199,8219,1048576
631,0.67281723,0.99323922,7055,1048576
632,0.68120956,0.99322311,7143,1048576
633,0.67605972,0.99320223,7089,1048576
634,0.68254471,0.99310744,7157,1048576
635,0.68874359,0.99304764,7222,1048576
636,0.67739487,0.99320742,7103,1048576
637,0.64706802,0.99361815,6785,1048576
638,0.62551498,0.99377774,6559,1048576
639,0.84400177,0.98867676,8850,1048576
640,0.82654953,0.98893527,8667,1048576
641,0.79183578,0.98967044,8303,1048576
642,0.75941086,0.99050502,7963,1048576
643,0.73251724,0.99124579,7681,1048576
644,0.73213577,0.99136241,7677,1048576
645,0.67777634,0.99196339,7107,1048576
646,0.64640045,0.99229592,6778,1048576
647,0.78849792,0.99033812,8268,1048576
648,0.75025558,0.99079648,7867,1048576
649,0.72345734,0.99121999,7586,1048576
650,0.71525574,0.99133830,7500,1048576
651,0.71544647,0.99131217,7502,1048576
652,0.69580078,0.99158483,7296,1048576
653,0.71430206,0.99126529,7490,1048576
654,0.72755814,0.99104518,7629,1048576
655,0.58708191,0.99200949,6156,1048576
656,0.54597855,0.99245358,5725,1048576
657,0.51136017,0.99277169,5362,1048576
658,0.47941208,0.99331410,5027,1048576
659,0.44803619,0.99390068,4698,1048576
